,Instrument,Date,Time,Open,High,Low,Close
6186,NIFTY,2012-04-13 11:00:00,11:00,5297.15,5297.8,5296.85,5297.25
6187,NIFTY,2012-04-13 12:00:00,12:00,5299.0,5299.65,5298.95,5299.05
6188,NIFTY,2012-04-13 13:00:00,13:00,5287.45,5287.85,5287.0,5287.1
6189,NIFTY,2012-04-13 14:00:00,14:00,5228.4,5228.4,5211.2,5211.2
6190,NIFTY,2012-04-13 15:00:00,15:00,5200.4,5202.85,5200.4,5202.8
6191,NIFTY,2012-04-16 10:00:00,10:00,5205.2,5206.65,5204.95,5206.25
6192,NIFTY,2012-04-16 11:00:00,11:00,5202.9,5203.8,5202.8,5202.8
6193,NIFTY,2012-04-16 12:00:00,12:00,5208.65,5211.7,5208.05,5208.8
6194,NIFTY,2012-04-16 13:00:00,13:00,5221.9,5222.3,5221.5,5222.15
6195,NIFTY,2012-04-16 14:00:00,14:00,5199.5,5200.85,5195.8,5195.8
6196,NIFTY,2012-04-16 15:00:00,15:00,5224.25,5224.75,5223.2,5224.65
6197,NIFTY,2012-04-17 10:00:00,10:00,5220.8,5221.5,5220.4,5221.45
6198,NIFTY,2012-04-17 11:00:00,11:00,5244.45,5247.1,5244.05,5245.65
6199,NIFTY,2012-04-17 12:00:00,12:00,5253.65,5253.95,5247.0,5247.4
6200,NIFTY,2012-04-17 13:00:00,13:00,5248.75,5250.1,5248.75,5249.5
6201,NIFTY,2012-04-17 14:00:00,14:00,5253.6,5256.5,5253.25,5256.35
6202,NIFTY,2012-04-17 15:00:00,15:00,5294.25,5297.05,5291.6,5291.6
6203,NIFTY,2012-04-18 10:00:00,10:00,5337.35,5337.8,5336.3,5336.35
6204,NIFTY,2012-04-18 11:00:00,11:00,5337.5,5339.3,5337.25,5338.55
6205,NIFTY,2012-04-18 12:00:00,12:00,5332.55,5332.65,5330.9,5330.9
6206,NIFTY,2012-04-18 13:00:00,13:00,5322.3,5322.65,5317.9,5317.9
6207,NIFTY,2012-04-18 14:00:00,14:00,5317.5,5317.6,5315.95,5316.75
6208,NIFTY,2012-04-18 15:00:00,15:00,5310.8,5310.8,5308.7,5309.25
6209,NIFTY,2012-04-19 10:00:00,10:00,5303.5,5303.55,5300.35,5300.8
6210,NIFTY,2012-04-19 11:00:00,11:00,5305.5,5307.1,5305.5,5306.8
6211,NIFTY,2012-04-19 12:00:00,12:00,5309.45,5309.85,5309.2,5309.65
6212,NIFTY,2012-04-19 13:00:00,13:00,5331.25,5333.9,5330.55,5333.45
6213,NIFTY,2012-04-19 14:00:00,14:00,5332.7,5332.7,5329.95,5330.65
6214,NIFTY,2012-04-19 15:00:00,15:00,5320.6,5321.3,5319.4,5319.6
6215,NIFTY,2012-04-20 10:00:00,10:00,5326.7,5327.55,5326.7,5327.2
6216,NIFTY,2012-04-20 11:00:00,11:00,5320.6,5320.7,5319.55,5319.65
6217,NIFTY,2012-04-20 12:00:00,12:00,5326.6,5327.0,5326.25,5326.7
6218,NIFTY,2012-04-20 13:00:00,13:00,5317.0,5318.6,5316.85,5317.75
6219,NIFTY,2012-04-20 14:00:00,14:00,5324.3,5325.1,5324.3,5324.65
6220,NIFTY,2012-04-20 15:00:00,15:00,5280.05,5283.55,5277.65,5283.3
6221,NIFTY,2012-04-23 10:00:00,10:00,5302.05,5302.6,5301.55,5301.55
6222,NIFTY,2012-04-23 11:00:00,11:00,5293.8,5293.9,5292.75,5292.9
6223,NIFTY,2012-04-23 12:00:00,12:00,5275.15,5275.15,5271.65,5271.65
